,district,total_enrollment,total_test_takers,percent_meeting_both_benchmarks,school_year_expenditure,average_daily_attendance,daily_expenditure,enrollment_k_thru_12,num_students_eligible_for_frpm,percentage_eligible_for_frpm
185,El Segundo Unified,620.0,315.0,76.82539682539682,38774925.31,3340.01,11609.224316693662,3453,522,15.117289313640313
186,Lawndale Elementary,257.0,220.0,30.0,79279792.94,5070.03,15636.947501296836,5814,4809,82.7141382868937
187,Merced Union High,5165.0,1337.0,36.49962602842184,137544105.4,9945.13,13830.297381733573,10523,7952,75.56780385821534
188,Gustine Unified,312.0,88.0,29.545454545454547,21609694.15,1736.58,12443.823002683435,1846,1483,80.33586132177682
189,Corona-Norco Unified,8776.0,3251.0,60.01230390649031,576153307.81,50989.66,11299.414583466529,53002,23747,44.80396966152221
190,San Juan Unified,8601.0,1975.0,62.88607594936709,475626254.48,37400.58,12717.082314766241,50509,26477,52.420360727791085
191,Escalon Unified,410.0,114.0,57.89473684210526,26822743.45,2570.16,10436.215430167773,2992,1429,47.76069518716577
192,Lompoc Unified,1337.0,587.0,31.345826235093696,110323664.39,9023.57,12226.165962030549,10045,6592,65.62468889995023
193,Travis Unified,872.0,307.0,61.88925081433225,58423236.52,5289.46,11045.217568523063,5495,1517,27.606915377616016
194,Sutter Union High,381.0,92.0,67.3913043478261,8138204.03,723.2,11253.047607853981,775,255,32.903225806451616
195,Sonora Union High,516.0,69.0,73.91304347826087,13308893.38,956.74,13910.66891736522,1051,427,40.627973358705994
196,Simi Valley Unified,2861.0,678.0,73.74631268436578,177362376.93,15734.71,11272.046127955331,16451,5591,33.9857759406723
197,Williams Unified,185.0,61.0,16.39344262295082,15600533.12,1227.27,12711.573753126859,1335,1201,89.9625468164794
198,John Swett Unified,266.0,98.0,56.12244897959184,16944620.73,1335.12,12691.458992450118,1439,852,59.20778318276581
199,Hamilton Unified,141.0,49.0,22.448979591836736,7881946.74,687.79,11459.815844952676,714,557,78.01120448179272
200,Calexico Unified,1660.0,362.0,51.38121546961326,117889165.07,8786.56,13416.987429665307,9246,7965,86.14536015574302
201,Kelseyville Unified,263.0,81.0,32.098765432098766,21984210.28,1596.33,13771.720308457527,1705,1365,80.05865102639295
202,Burbank Unified,2674.0,935.0,77.6470588235294,169596961.86,14579.31,11632.715256071791,15203,5526,36.34808919292245
203,Duarte Unified,862.0,253.0,42.687747035573125,45566001.18,3416.81,13335.831134888975,4761,2927,61.47868094938038
